,Date,Total,MR,PW,PW+,Lief,Lief+,Lief+Aufl.,LW,LW+,Sattelzug,Bus,andere,Station Count,Number of Measurments
213,07.04.2019,272540,6132,251112,232,9494,61,33,630,275,269,4106,196,30,1584
214,07.04.2020,227443,10135,179201,187,23924,417,228,6282,792,3191,2905,181,30,1584
215,07.04.2021,300922,6171,250347,297,28182,499,183,6758,937,3604,3763,181,30,1512
216,07.05.2019,396902,15709,330848,401,31018,518,252,7844,1300,4011,4612,389,30,1536
217,07.05.2020,256880,12085,206616,251,24924,433,167,5962,743,2862,2677,160,30,1512
218,07.05.2021,362577,10513,305712,400,30087,485,188,6864,897,3232,3915,284,30,1536
219,07.06.2019,426492,16602,357709,580,33717,608,246,7938,1060,3370,4236,426,30,1536
220,07.06.2020,160608,5331,146969,74,5460,17,3,348,77,179,2091,59,30,1512
221,07.06.2021,362532,11593,302235,351,31974,492,205,7045,920,3622,3889,206,30,1536
222,07.07.2019,243598,8390,221210,374,9415,150,24,670,142,203,2838,182,30,1560
223,07.07.2020,340457,17763,279961,364,27572,511,197,6486,805,2960,3591,247,30,1512
224,07.07.2021,373558,13194,312390,422,30721,520,216,7390,1005,3579,3878,243,30,1536
225,07.08.2019,374241,10470,317700,440,29797,426,188,6703,836,3063,4031,587,30,1560
226,07.08.2020,358836,17561,300727,410,26652,463,178,5849,747,2245,3672,332,30,1512
227,07.08.2021,295575,5844,269463,564,13680,216,31,1257,209,545,3592,174,30,1512
228,07.09.2019,330163,10766,297471,390,14357,216,70,1702,273,799,3827,292,30,1536
229,07.09.2020,345005,16904,285136,340,27993,474,237,6176,829,2868,3775,273,30,1536
230,07.09.2021,356514,18052,290150,440,31065,487,247,7392,984,3477,3989,231,29,1512
231,07.10.2019,366321,11923,307344,349,29629,497,229,6777,955,3466,4728,424,29,1536
232,07.10.2020,344232,10516,290195,325,28623,474,190,6147,853,3044,3684,181,29,1536
233,07.10.2021,299994,9551,250090,332,26242,477,180,5806,795,2905,3476,140,29,1224
234,07.11.2019,408813,12468,345101,319,32810,488,263,7607,1083,3704,4598,372,29,1584
235,07.11.2020,261057,8071,236014,283,11500,149,15,1080,224,587,2991,143,29,1536
236,07.12.2019,351546,5740,323174,342,14491,144,62,1634,323,788,4352,496,29,1584
237,07.12.2020,306892,7296,256758,268,27665,425,170,6404,852,3206,3663,185,29,1536
238,08.01.2019,381335,9139,329973,201,27144,325,182,5979,761,2943,4388,300,29,1608
239,08.01.2020,374543,9056,322242,241,27889,306,231,5777,888,3097,4450,366,29,1584
240,08.01.2021,304809,6882,261541,256,23591,370,151,4591,692,2384,4128,223,29,1584
241,08.02.2019,430103,8849,372878,292,31609,431,240,7257,770,2951,4374,452,29,1608
242,08.02.2020,337007,6078,310844,282,13065,113,43,1218,243,709,4262,150,29,1584
243,08.02.2021,281322,4964,234001,209,27509,345,206,6154,848,2989,3958,139,29,1512
244,08.03.2019,418897,10639,359151,450,31666,536,254,7425,931,3074,4454,317,29,1584
245,08.03.2020,232642,5439,215582,156,7514,72,17,426,103,184,3088,61,29,1584
246,08.03.2021,306211,9516,252883,331,28264,479,204,6361,899,3220,3888,166,29,1512
247,08.04.2019,399942,13123,336275,409,31524,532,237,7436,1242,3714,5087,363,29,1584
248,08.04.2020,234422,10538,185638,242,24189,393,183,6184,730,3264,2909,152,29,1584
249,08.04.2021,311875,8804,258955,332,27829,501,184,6719,954,3717,3687,193,29,1512
250,08.05.2019,401470,9850,343255,378,31283,486,246,7377,1154,2338,4692,411,29,1536
251,08.05.2020,260684,13008,211253,267,24751,431,193,5876,602,1427,2687,189,29,1512
252,08.05.2021,296197,11651,264502,289,13612,149,32,1614,360,580,3239,169,29,1536
253,08.06.2019,337244,12199,302003,482,15067,181,49,2036,339,833,3752,303,29,1536
254,08.06.2020,295405,12876,241218,243,26992,483,160,6104,876,2818,3464,171,29,1512
255,08.06.2021,378791,12921,315873,372,32427,517,198,7537,1017,3865,3798,266,29,1536
256,08.07.2019,363437,16694,299036,502,30836,569,236,7190,917,3286,3817,354,29,1560
257,08.07.2020,342524,18048,281571,393,27695,495,191,6411,814,3141,3534,231,29,1512
258,08.07.2021,375095,10867,316708,447,30841,512,186,7074,945,3330,3968,217,29,1536
259,08.08.2019,380914,17653,316834,546,30143,483,189,6849,926,2976,3843,472,29,1560
260,08.08.2020,286826,12475,256158,421,12264,172,25,1172,297,503,3134,205,29,1512
261,08.08.2021,240695,8689,218409,391,9136,147,13,521,116,195,2970,108,29,1512
262,08.09.2019,252432,4174,233518,323,9993,139,33,639,101,192,3168,152,29,1536
263,08.09.2020,349398,17935,286983,317,29084,493,223,6409,893,3088,3712,261,29,1536
264,08.09.2021,359727,18210,293574,396,30838,490,241,7373,1006,3473,3864,262,29,1512
265,08.10.2019,373798,13115,312459,356,30276,500,210,7063,1071,3753,4617,378,29,1536
266,08.10.2020,351174,13491,294164,310,28733,427,199,6153,830,2915,3707,245,29,1536
267,08.11.2019,427333,11011,364855,386,33208,532,261,7550,1016,3366,4570,578,29,1584
268,08.11.2020,175388,5603,160421,59,6328,40,2,392,90,148,2215,90,29,1536
269,08.12.2019,271617,4443,252830,152,9625,57,30,538,93,176,3500,173,29,1584
270,08.12.2020,322136,8051,270465,269,28323,428,196,6405,883,3316,3576,224,29,1536
271,09.01.2019,380833,7528,329205,226,28247,346,217,6343,814,3229,4362,316,29,1608
272,09.01.2020,384371,10043,330403,239,28419,411,206,5745,845,3265,4406,389,29,1584
273,09.01.2021,227108,4126,207136,211,10060,105,14,1023,210,571,3469,183,29,1584
274,09.02.2019,351730,6569,323877,287,13684,168,38,1516,291,780,4278,242,29,1608
275,09.02.2020,257036,4847,239719,97,8294,33,13,456,73,161,3276,67,29,1584
276,09.02.2021,289860,3682,242236,221,28221,359,186,6650,800,3380,3942,183,29,1512
277,09.03.2019,328828,5696,301956,376,13581,178,59,1547,259,782,4136,258,29,1584
278,09.03.2020,359329,9772,304120,285,29689,436,212,6275,807,3144,4350,239,29,1584
279,09.03.2021,309350,9560,254243,319,28916,454,170,6988,1020,3672,3826,182,29,1512
280,09.04.2019,406209,14229,340651,399,31926,516,217,7677,1264,4049,4886,395,29,1584
281,09.04.2020,235620,10747,188499,281,23104,346,175,5979,679,2710,2924,176,29,1584
282,09.04.2021,323193,10129,269743,365,27398,476,199,6808,971,3243,3648,213,29,1512
283,09.05.2019,401804,11872,339253,387,31417,548,240,7859,1258,3745,4669,556,29,1536
284,09.05.2020,174109,9034,151299,181,8829,68,15,1221,216,642,2473,131,29,1512
285,09.05.2021,239522,10780,216907,121,7868,83,14,701,225,267,2427,129,29,1536
286,09.06.2019,248700,5357,229433,238,9536,117,15,530,95,136,3076,167,29,1536
287,09.06.2020,298351,10199,246200,218,27040,407,229,6549,798,2957,3522,232,29,1512
288,09.06.2021,380430,14606,316186,343,32472,509,217,7408,1000,3725,3715,249,29,1536
289,09.07.2019,366572,17960,301044,470,30388,611,231,7226,967,3460,3853,362,29,1560
290,09.07.2020,339311,17895,279021,422,27510,491,169,6128,877,2971,3534,293,29,1512
291,09.07.2021,388276,15233,325054,507,31275,627,199,7115,827,3269,3933,237,29,1536
292,09.08.2019,393188,18110,328766,604,30322,514,185,6787,889,2575,3923,513,29,1560
293,09.08.2020,222663,10293,200920,274,7627,114,8,442,115,144,2565,161,29,1512
294,09.08.2021,340697,15310,283136,448,27433,507,179,5946,740,2813,3992,193,29,1512
295,09.09.2019,373767,15467,311088,453,30712,476,238,6588,928,3192,4212,413,29,1536
296,09.09.2020,350434,18725,287361,360,28836,521,237,6432,907,3109,3640,306,29,1536
297,09.09.2021,372539,17540,306800,474,30885,450,232,7339,1023,3483,4039,274,29,1512
298,09.10.2019,376567,9595,318715,328,30708,518,230,6934,1123,3551,4554,311,29,1536
299,09.10.2020,365559,13666,308364,419,28783,537,174,6090,792,2753,3792,189,29,1536
300,09.11.2019,354305,7350,323662,299,15624,185,59,1748,265,851,3993,269,29,1584
301,09.11.2020,311801,12293,256028,339,28389,536,179,6214,932,3127,3565,199,29,1536
302,09.12.2019,393627,8840,335543,346,31766,453,224,7043,954,3339,4678,441,29,1584
303,09.12.2020,318079,6311,267714,252,28613,489,200,6336,965,3303,3635,261,29,1536
